EmployeeID,Age,Gender,Department,JobRole,YearsAtCompany,MonthlySalary,JobSatisfaction,TrainingHours,MaritalStatus,Attrition
63,42.0,Female,IT,Associate,6,84598.0,3,8,Single,No
64,52.0,Male,Operations,Executive,1,95702.0,1,20,Single,No
65,23.0,Male,HR,Associate,0,51130.0,1,3,Divorced,Yes
66,35.0,Male,Marketing,Engineer,7,116680.0,3,3,Single,No
67,41.0,Female,Finance,Specialist,3,100849.0,1,6,Single,No
68,37.0,Male,IT,Engineer,3,116382.0,3,13,Divorced,Yes
69,45.0,Female,Finance,Executive,2,91317.0,3,13,Married,Yes
70,51.0,Female,Marketing,Engineer,22,45052.0,4,15,Married,Yes
71,49.0,Male,Sales,Manager,26,102656.0,3,14,Single,No
72,51.0,Male,Finance,Manager,18,104997.0,4,5,Married,No
73,35.0,Female,Marketing,Executive,5,58862.0,3,16,Single,No
74,27.0,Male,Operations,Associate,1,119381.0,4,20,Divorced,No
75,53.0,Male,Finance,Specialist,28,27260.0,1,7,Married,No
76,45.0,Female,Operations,Engineer,15,97544.0,5,10,Married,No
77,51.0,Male,Operations,Analyst,8,65189.0,3,10,Single,Yes
78,56.0,Female,Operations,Engineer,11,50105.0,2,16,Divorced,No
79,40.0,Female,HR,Manager,3,50443.0,3,0,Divorced,Yes
80,56.0,Female,Operations,Analyst,8,60954.0,1,20,Married,Yes
81,28.0,Female,Finance,Manager,0,100243.0,3,5,Single,No
82,38.0,Female,Sales,Engineer,15,39953.0,1,20,Divorced,No
83,25.0,Male,HR,Executive,1,44555.0,5,17,Married,No
84,36.0,Female,IT,Engineer,12,84049.0,4,19,Single,No
85,28.0,Male,HR,Analyst,3,106987.0,2,5,Divorced,No
86,26.0,Female,IT,Executive,1,25350.0,4,7,Married,No
87,40.0,Male,Finance,Executive,14,34329.0,2,17,Single,No
88,31.0,Male,IT,Engineer,4,43643.0,1,18,Married,Yes
89,50.0,Female,Marketing,Engineer,3,86433.0,3,15,Married,No
90,27.0,Female,Sales,Executive,4,30224.0,4,7,Divorced,No
91,58.0,Male,Finance,Engineer,37,27719.0,3,20,Married,Yes
92,39.0,Male,Finance,Manager,5,101720.0,4,13,Married,No
93,42.0,Female,Operations,Associate,21,38710.0,2,9,Divorced,No
94,47.0,Male,IT,Manager,26,97102.0,1,10,Single,No
95,47.0,Female,Sales,Analyst,16,25150.0,5,16,Married,No
96,53.0,Male,IT,Associate,28,31764.0,2,15,Single,No
97,23.0,Female,Marketing,Executive,2,104806.0,2,17,Married,Yes
98,27.0,Male,Finance,Specialist,1,39871.0,4,9,Divorced,Yes
99,39.0,Female,Marketing,Analyst,13,88242.0,4,12,Single,Yes
100,54.0,Female,Marketing,Manager,8,34150.0,3,0,Married,No
